,original_longitude,original_latitude
0,174.7685883,-36.8540765
1,174.768555,-36.8540118
2,174.7685912,-36.8540347
3,174.7685877,-36.8540245
4,174.7685941,-36.8540278
5,174.7686042,-36.8540396
6,174.7685711,-36.8540424
7,174.7685698,-36.8540486
8,174.7685706,-36.8540635
9,174.768553,-36.8540589
10,174.7685624,-36.8540776
11,174.7685471,-36.8540993
12,174.7685336,-36.8541034
13,174.7685197,-36.85412
14,174.7685066,-36.8541258
15,174.7684956,-36.854132
16,174.768484,-36.8541395
17,174.76847,-36.8541416
18,174.7684698,-36.8541544
19,174.7684561,-36.8541726
20,174.7684506,-36.8541836
21,174.7684447,-36.8541897
22,174.7684303,-36.8541832
23,174.7684329,-36.8541898
24,174.7684397,-36.8541966
25,174.7684576,-36.8542047
26,174.7684718,-36.8542118
27,174.7684806,-36.8542172
28,174.7684819,-36.8542172
29,174.7684914,-36.8542256
30,174.7684899,-36.8542303
31,174.7684936,-36.8542366
32,174.7684941,-36.8542432
33,174.7684945,-36.8542516
34,174.7684961,-36.854285
35,174.7684864,-36.8543121
36,174.76848,-36.8543529
37,174.7684803,-36.8543677
38,174.7684912,-36.8543706
39,174.768496,-36.854379
40,174.7685015,-36.8543907
41,174.7685145,-36.8543996
42,174.7685251,-36.8544066
43,174.7685335,-36.8544141
44,174.7685389,-36.8544175
45,174.7685556,-36.8544229
46,174.7685642,-36.8544312
47,174.7685682,-36.8544387
48,174.768584,-36.8544448
49,174.7685964,-36.8544516
50,174.7686066,-36.8544594
51,174.7686171,-36.8544685
52,174.7686251,-36.8544754
53,174.7686381,-36.8544828
54,174.7686445,-36.8544908
55,174.7686512,-36.8545002
56,174.7686523,-36.8545088
57,174.7686568,-36.8545152
58,174.768656,-36.8545257
59,174.7686594,-36.854537
60,174.7686615,-36.8545456
61,174.7686677,-36.8545548
62,174.7686699,-36.8545695
63,174.7686675,-36.8545824
64,174.7686714,-36.8545946
65,174.7686739,-36.854603
66,174.7686799,-36.8546131
67,174.7686813,-36.8546253
68,174.7686828,-36.8546375
69,174.7686813,-36.8546503
70,174.7686827,-36.8546637
71,174.7686801,-36.8546844
72,174.7686729,-36.8547051
73,174.7686599,-36.8547171
74,174.7686481,-36.854731
75,174.7686402,-36.8547372
76,174.7686301,-36.8547487
77,174.7686155,-36.854763
78,174.7686066,-36.8547752
79,174.7685917,-36.8547867
80,174.7685779,-36.8547949
81,174.7685637,-36.8547969
82,174.7685532,-36.8548043
83,174.7685483,-36.8548055
84,174.7685413,-36.8548141
85,174.7685306,-36.8548218
86,174.7685164,-36.8548297
87,174.7685041,-36.854836
88,174.7684871,-36.8548419
89,174.7684768,-36.854845
90,174.7684502,-36.8548447
91,174.7684464,-36.8548453
92,174.7684634,-36.8548474
93,174.7684785,-36.8548568
94,174.7684954,-36.8548724
95,174.7685018,-36.854882
96,174.7685094,-36.8548928
97,174.7685186,-36.854901
98,174.7685281,-36.8549091
99,174.7685248,-36.8549141
100,174.7685203,-36.8549234
101,174.7685135,-36.8549341
102,174.7685108,-36.8549448
103,174.7685087,-36.8549551
104,174.7685158,-36.8549625
105,174.7685225,-36.8549618
106,174.7685262,-36.8549633
107,174.7685302,-36.8549648
108,174.7685313,-36.8549665
109,174.7685375,-36.854966
110,174.7685487,-36.8549677
111,174.7685609,-36.854982
112,174.7685725,-36.8549984
113,174.7685938,-36.8550109
114,174.7686079,-36.8550309
115,174.7686146,-36.8550523
116,174.7686161,-36.8550734
117,174.7686141,-36.8550961
118,174.7686102,-36.8551231
119,174.7686204,-36.8551449
120,174.768634,-36.8551729
121,174.7686403,-36.8551935
122,174.7686577,-36.8552089
123,174.7686768,-36.8552166
124,174.7686989,-36.855219
125,174.7687194,-36.8552136
126,174.768735,-36.8552045
127,174.7687445,-36.8551905
128,174.7687518,-36.8551742
129,174.7687602,-36.8551391
130,174.7687695,-36.8551043
131,174.7687781,-36.8550819
132,174.7687824,-36.8550537
133,174.7688033,-36.8550348
134,174.7688257,-36.8550056
135,174.7688707,-36.8549742
136,174.7689256,-36.8549508
137,174.7689759,-36.8549436
138,174.7690305,-36.8549391
139,174.7690897,-36.8549417
140,174.7691281,-36.85494
141,174.7691707,-36.8548535
142,174.7692124,-36.8548385
143,174.7692619,-36.8548088
144,174.7693118,-36.854793
145,174.7693687,-36.8547829
146,174.7694306,-36.8547733
