,matched_longitude,matched_latitude
0,174.768432,-36.853973
1,174.768488,-36.853919
2,174.768456,-36.853949
3,174.768488,-36.853919
4,174.768488,-36.853919
5,174.768463,-36.853943
6,174.768444,-36.853961
7,174.76844,-36.853965
8,174.768431,-36.853974
9,174.768427,-36.853978
10,174.768419,-36.853986
11,174.7684,-36.854005
12,174.768393,-36.854012
13,174.768377,-36.854028
14,174.768368,-36.854037
15,174.76836,-36.854045
16,174.76835,-36.854055
17,174.768344,-36.854061
18,174.768336,-36.854069
19,174.768319,-36.854086
20,174.768311,-36.854094
21,174.768305,-36.8541
22,174.768396,-36.8542
23,174.768401,-36.854206
24,174.768407,-36.854214
25,174.768417,-36.854226
26,174.768425,-36.854236
27,174.76843,-36.854243
28,174.768431,-36.854243
29,174.768438,-36.854253
30,174.76844,-36.854255
31,174.768445,-36.854262
32,174.768449,-36.854266
33,174.768454,-36.854273
34,174.768473,-36.854297
35,174.768486,-36.854312
36,174.768507,-36.854339
37,174.768516,-36.85435
38,174.768521,-36.854356
39,174.768527,-36.854363
40,174.768535,-36.854374
41,174.768544,-36.854385
42,174.768551,-36.854394
43,174.768558,-36.854402
44,174.768561,-36.854407
45,174.768569,-36.854416
46,174.768576,-36.854425
47,174.768582,-36.854432
48,174.76859,-36.854442
49,174.768597,-36.854451
50,174.768604,-36.85446
51,174.768613,-36.854471
52,174.768619,-36.854478
53,174.768627,-36.854489
54,174.768634,-36.854497
55,174.76864,-36.854505
56,174.768646,-36.854512
57,174.768651,-36.854518
58,174.768657,-36.854526
59,174.768664,-36.854535
60,174.76867,-36.854542
61,174.768674,-36.854555
62,174.768675,-36.85457
63,174.768676,-36.854582
64,174.768676,-36.854596
65,174.768673,-36.854603
66,174.76867,-36.85461
67,174.768666,-36.854621
68,174.768661,-36.854632
69,174.768657,-36.854644
70,174.768653,-36.854654
71,174.768643,-36.854672
72,174.768633,-36.854692
73,174.768626,-36.854706
74,174.768618,-36.854721
75,174.768616,-36.854724
76,174.768606,-36.854737
77,174.768594,-36.854753
78,174.768585,-36.854765
79,174.768575,-36.854779
80,174.768567,-36.854789
81,174.768562,-36.854796
82,174.768555,-36.854805
83,174.768552,-36.854808
84,174.768546,-36.854816
85,174.768539,-36.854826
86,174.768531,-36.854837
87,174.768524,-36.854846
88,174.768516,-36.854856
89,174.768512,-36.854862
90,174.768505,-36.854871
91,174.768503,-36.854873
92,174.768492,-36.854888
93,174.768492,-36.854888
94,174.768492,-36.854888
95,174.768494,-36.854889
96,174.768505,-36.854897
97,174.768507,-36.854903
98,174.768509,-36.854912
99,174.76851,-36.854915
100,174.768512,-36.854924
101,174.768514,-36.854934
102,174.768516,-36.854944
103,174.768516,-36.854955
104,174.768515,-36.854963
105,174.768514,-36.854987
106,174.768515,-36.854987
107,174.768519,-36.854989
108,174.768521,-36.854989
109,174.768527,-36.854991
110,174.768538,-36.854994
111,174.768546,-36.854998
112,174.768563,-36.855008
113,174.768584,-36.855021
114,174.768605,-36.855034
115,174.768622,-36.855049
116,174.768634,-36.855065
117,174.768644,-36.855098
118,174.768641,-36.855125
119,174.76864,-36.855146
120,174.768639,-36.855173
121,174.76864,-36.855194
122,174.768642,-36.85521
123,174.768654,-36.85523
124,174.768662,-36.855239
125,174.768688,-36.855257
126,174.768796,-36.855223
127,174.768804,-36.855204
128,174.76881,-36.855186
129,174.768821,-36.855152
130,174.768831,-36.855114
131,174.768836,-36.855092
132,174.768844,-36.855064
133,174.768849,-36.855043
134,174.76886,-36.855015
135,174.768879,-36.854978
136,174.768912,-36.85494
137,174.768945,-36.854914
138,174.768981,-36.854891
139,174.769025,-36.854866
140,174.769052,-36.854851
141,174.769131,-36.854808
142,174.769168,-36.854788
143,174.769225,-36.854758
144,174.769275,-36.854736
145,174.769344,-36.854712
146,174.769438,-36.854707
147,174.769494,-36.85471
148,174.76954,-36.854713
149,174.769574,-36.854715
150,174.769627,-36.854709
151,174.769652,-36.8547
152,174.769689,-36.854684
153,174.769728,-36.854661
154,174.76977,-36.854631
155,174.769799,-36.8546
156,174.769826,-36.854572
157,174.769854,-36.854543
158,174.76988,-36.854515
159,174.769911,-36.854479
160,174.769942,-36.854443
161,174.769971,-36.854409
162,174.769999,-36.854377
163,174.770029,-36.854343
164,174.770054,-36.854314
165,174.770087,-36.854272
166,174.770114,-36.854234
167,174.770148,-36.854186
168,174.770168,-36.854157
169,174.770189,-36.854126
170,174.770225,-36.854079
171,174.770258,-36.854048
172,174.770299,-36.854011
173,174.770383,-36.853966
174,174.770461,-36.853937
175,174.770494,-36.85393
176,174.770529,-36.853922
177,174.770559,-36.853915
178,174.77059,-36.853908
179,174.77061,-36.853904
180,174.770657,-36.853907
181,174.77066,-36.853908
182,174.770667,-36.853909
183,174.770674,-36.853911
184,174.770677,-36.853912
185,174.77068,-36.853912
186,174.770687,-36.853914
187,174.770689,-36.853915
188,174.770693,-36.853916
189,174.770694,-36.853916
190,174.770695,-36.853916
191,174.770696,-36.853916
192,174.770696,-36.853916
193,174.770695,-36.853916
194,174.770696,-36.853916
195,174.770696,-36.853916
196,174.770697,-36.853917
197,174.770701,-36.853918
198,174.770703,-36.853918
199,174.770705,-36.853919
200,174.770705,-36.853919
201,174.770705,-36.853919
202,174.770705,-36.853919
203,174.770705,-36.853919
204,174.770705,-36.853919
205,174.770705,-36.853919
206,174.770706,-36.853919
207,174.770706,-36.853919
208,174.770707,-36.853919
209,174.770707,-36.853919
210,174.770708,-36.85392
211,174.770709,-36.85392
212,174.77071,-36.85392
213,174.770711,-36.853921
214,174.770713,-36.853921
215,174.770714,-36.853921
216,174.770716,-36.853922
217,174.770717,-36.853922
218,174.770716,-36.853922
219,174.770717,-36.853922
220,174.770717,-36.853922
221,174.770717,-36.853922
222,174.770719,-36.853923
223,174.770721,-36.853923
224,174.770723,-36.853924
225,174.770725,-36.853925
226,174.770729,-36.853926
227,174.770735,-36.853927
228,174.770739,-36.853929
229,174.770742,-36.85393
230,174.770745,-36.853931
231,174.770747,-36.853931
232,174.77075,-36.853932
233,174.770752,-36.853932
234,174.770756,-36.853934
235,174.770775,-36.85394
236,174.770793,-36.853945
237,174.770814,-36.853952
238,174.770836,-36.853958
239,174.770856,-36.853964
240,174.770892,-36.853975
241,174.7709,-36.853977
242,174.7709,-36.853977
243,174.7709,-36.853977
244,174.770903,-36.853976
245,174.770951,-36.853959
246,174.770995,-36.853943
247,174.771018,-36.853933
248,174.771055,-36.853913
249,174.771093,-36.853893
250,174.771146,-36.853864
251,174.771209,-36.85383
252,174.771271,-36.853797
253,174.771328,-36.853765
254,174.77138,-36.853737
255,174.771434,-36.853708
256,174.771486,-36.853679
257,174.77154,-36.853649
258,174.771585,-36.853622
259,174.771629,-36.853591
260,174.771661,-36.853556
261,174.771691,-36.853516
262,174.771722,-36.853474
263,174.771753,-36.853431
264,174.77178,-36.853394
265,174.771802,-36.853365
266,174.771825,-36.853335
267,174.771848,-36.853304
268,174.771905,-36.853247
269,174.77199,-36.853207
270,174.772038,-36.853192
271,174.772101,-36.853171
272,174.772161,-36.853152
273,174.772242,-36.853126
274,174.772313,-36.853103
275,174.772384,-36.853079
276,174.772449,-36.853058
277,174.772519,-36.853036
278,174.77258,-36.853016
279,174.772647,-36.852994
280,174.772712,-36.852973
281,174.772775,-36.852952
282,174.772847,-36.852928
283,174.772901,-36.852904
284,174.772952,-36.852878
285,174.773,-36.852848
286,174.773048,-36.852817
287,174.773096,-36.852787
288,174.773135,-36.852749
289,174.773175,-36.85271
290,174.773212,-36.852675
291,174.773245,-36.852644
292,174.773273,-36.852616
293,174.773313,-36.852579
294,174.77334,-36.852552
295,174.773366,-36.852528
296,174.773394,-36.852501
297,174.773409,-36.852486
298,174.773427,-36.852468
299,174.773444,-36.85245
300,174.773447,-36.852447
301,174.773539,-36.852472
302,174.773539,-36.852472
303,174.773539,-36.852472
304,174.773539,-36.852472
305,174.773539,-36.852472
306,174.773539,-36.852472
307,174.773539,-36.852472
308,174.773539,-36.852472
309,174.773539,-36.852472
310,174.773539,-36.852472
311,174.773539,-36.852472
312,174.773539,-36.852472
313,174.773539,-36.852472
314,174.773539,-36.852472
315,174.773539,-36.852472
316,174.773539,-36.852472
317,174.773539,-36.852472
318,174.773539,-36.852472
319,174.773539,-36.852472
320,174.773539,-36.852472
321,174.773539,-36.852472
322,174.773539,-36.852472
323,174.773539,-36.852472
324,174.773539,-36.852472
325,174.773539,-36.852472
326,174.773539,-36.852472
327,174.773539,-36.852472
328,174.773539,-36.852472
329,174.773539,-36.852472
330,174.773539,-36.852472
331,174.773539,-36.852472
332,174.773539,-36.852472
333,174.773539,-36.852472
334,174.773539,-36.852472
335,174.773539,-36.852472
336,174.773539,-36.852472
337,174.773539,-36.852472
338,174.773539,-36.852472
339,174.773539,-36.852472
340,174.773539,-36.852472
341,174.773539,-36.852472
342,174.773539,-36.852472
343,174.773539,-36.852472
344,174.773539,-36.852472
345,174.773539,-36.852472
346,174.773539,-36.852472
347,174.773539,-36.852472
348,174.773539,-36.852472
349,174.773539,-36.852472
350,174.773539,-36.852472
351,174.773539,-36.852472
352,174.773539,-36.852472
353,174.773539,-36.852472
354,174.773539,-36.852472
355,174.773539,-36.852472
356,174.773539,-36.852472
357,174.773539,-36.852472
358,174.773539,-36.852472
359,174.773539,-36.852472
360,174.773539,-36.852472
361,174.773539,-36.852472
362,174.773539,-36.852472
363,174.773539,-36.852472
364,174.773539,-36.852472
365,174.773539,-36.852472
366,174.773539,-36.852472
367,174.773539,-36.852472
368,174.773539,-36.852472
369,174.773539,-36.852472
370,174.773539,-36.852472
371,174.773539,-36.852472
372,174.773539,-36.852472
373,174.773539,-36.852472
374,174.773539,-36.852472
375,174.773539,-36.852472
376,174.773539,-36.852472
377,174.773539,-36.852472
378,174.773539,-36.852472
379,174.773539,-36.852472
380,174.773539,-36.852472
381,174.773539,-36.852472
382,174.773539,-36.852472
383,174.773539,-36.852472
384,174.773539,-36.852472
385,174.773539,-36.852472
386,174.773539,-36.852472
387,174.773539,-36.852472
388,174.773539,-36.852472
389,174.773539,-36.852472
390,174.773539,-36.852472
391,174.773539,-36.852472
392,174.773539,-36.852472
393,174.773539,-36.852472
394,174.773539,-36.852472
395,174.773607,-36.8525
396,174.773632,-36.852481
397,174.773649,-36.852461
398,174.773672,-36.852436
399,174.773695,-36.852411
400,174.773715,-36.852389
401,174.77373,-36.852374
402,174.773739,-36.852364
403,174.773744,-36.852358
404,174.773741,-36.85226
405,174.77373,-36.852254
406,174.77372,-36.852249
407,174.773717,-36.852247
408,174.773717,-36.852247
409,174.773717,-36.852247
410,174.773718,-36.852243
411,174.77372,-36.852237
412,174.773721,-36.852231
413,174.773724,-36.85222
414,174.773727,-36.85221
415,174.77373,-36.852193
416,174.77373,-36.852185
417,174.773731,-36.852175
418,174.773731,-36.852165
419,174.773732,-36.852157
420,174.773733,-36.852149
421,174.773733,-36.852142
422,174.773733,-36.852135
423,174.773734,-36.852128
424,174.773734,-36.852125
425,174.773735,-36.852118
426,174.773735,-36.852112
427,174.773735,-36.85211
428,174.773736,-36.852103
429,174.773736,-36.852097
430,174.773704,-36.852072
431,174.773701,-36.852069
